technical_name,business_name,status,products,rb_datasets,api_feeds,definition
,Item Abandonment Count,APPROVED,6:Digital Landscapes,,,The number of add-to-cart and buy now instances where a specified product(s) was removed from cart or not purchased within seven days.
,Keyword Share,APPROVED,6:Digital Landscapes,,,"The share of product clicks, product detail page (PDP) views or add-to-carts for a product that can be attributed to a specific keyword."
,# category opportunity customers,APPROVED,1:Shopper Behavior,,,"The number of customers who purchase products within a specific category in your target sales channel, but have not yet purchased your brand or product."
,# total opportunity customers,APPROVED,1:Shopper Behavior,,,"The number of customers who are purchasing any products within your target sales channel, but have not yet purchased your brand or product."
,% brand first purchase on product,APPROVED,1:Shopper Behavior,,,The percentage of new brand customers who bought each product as their first purchase in the category.
,% growth in sales (units),APPROVED,10:Assortment Deep Dive,,,The percentage change in sales units between the previous and latest periods.
,% growth in sales (value),APPROVED,10:Assortment Deep Dive,,,The percentage change in sales value between the previous and latest periods.
,% product first purchasers repeating on total brand,APPROVED,1:Shopper Behavior,,,The percentage of customers from the % Brand First Purchase on Product measure who continued to make purchases from the brand.
,ACV (all commodity volume),APPROVED,1:Shopper Behavior;10:Assortment Deep Dive,,,ACV(All Commodity Volume) is a metric used to compare product sales across stores of different sizes and distribution levels. Rather than simply looking at raw sales numbers—which can be misleading if products are sold in a varying number of stores—ACV adjusts (or “upweights”) sales figures to estimate how a product would perform if it were available in all stores within the channel.
,ACV ROS weighted (units),APPROVED,10:Assortment Deep Dive,,,Estimated weekly unit sales if the product was at full distribution (sold in every store).
,ACV ROS weighted (value),APPROVED,10:Assortment Deep Dive,,,Estimated weekly sales value if the product was at full distribution (sold in every store).
,ACV weighted ROS (distribution),APPROVED,1:Shopper Behavior,,,"ACV (All Commodity Volume) weighted ROS (Rate of Sale) (distribution) is the total spend of stores – where the selected product group was sold – divided by the total spend for all stores. This is calculated for the selected period, geography, and profile."
,ACV weighted ROS (sales),APPROVED,1:Shopper Behavior,,,ACV (All Commodity Volume) weighted ROS (Rate of Sale) sales estimates the sales value of the product if it had been sold in an average store during an average week.
,ACV weighted ROS (units),APPROVED,1:Shopper Behavior,,,ACV (All Commodity Volume) weighted ROS (Rate of Sale) units estimates the unit sales value of the product if it had been sold in an average store during an average week.
,ACV weighted ROS (units) (rank),APPROVED,1:Shopper Behavior,,,"ACV (All Commodity Volume) Weighted Rate of Sale (ROS) in units estimates the number of units a product would sell if it were available in an average store, during an average week, across the entire sales channel."
,ACV weighted ROS (value) (rank),APPROVED,1:Shopper Behavior,,,"ACV (All Commodity Volume) Weighted Rate of Sale (ROS) by value estimates the dollar sales a product would generate if it were sold in an average store, during an average week, across the entire sales channel."
,ACV weighted distribution,APPROVED,10:Assortment Deep Dive,,,"The sales value of a product as a percentage of all possible total sales, based on its distribution. This measure is weighted by how long a product has been selling and in which stores."
,ATC Identified Customer Count,APPROVED,6:Digital Landscapes,,,"The number of unique, identified customers (as determined by pg_Cust_id) who have added at least one of the selected products to their cart within the specified timeframe. Each customer is counted only once, regardless of the number of add-to-cart (ATC) actions performed within that period."
,ATC Unidentified Customer Count,APPROVED,6:Digital Landscapes,,,"The number of unique, unidentified customers (as determined by visitor_id when pg_Cust_id is null) who have added at least one of the selected products to their cart within the specified timeframe. Each customer is counted only once, regardless of the number of add-to-cart (ATC) actions performed within that period."
,Active Modular,APPROVED,8:Modular Intelligence,,,"Currently active modular in store, based on which items are arranged in the shelves"
,Add to Cart Adjusted Count,APPROVED,6:Digital Landscapes,,,The number of add-to-carts (ATC) for the selected products on Walmart.com and the Walmart Mobile App within the specified timeframe. This count includes Buy Nows but excludes ATCs that occur prior to a Scan & Go purchase and items that are subsequently removed from the cart. The number of add-to-carts (ATC) for the selected products on Walmart.com.mx and the Walmart Mobile App within the specified timeframe. This count includes Buy Nows but excludes ATCs that occur prior to a Scan & Go purchase and items that are subsequently removed from the cart.
,Add to Cart Count,APPROVED,6:Digital Landscapes,,,The number of add-to-carts (ATC) for the selected products on Walmart.com and the Walmart Mobile App within the specified timeframe. This count includes Buy Nows.The number of add-to-carts (ATC) for the selected products on Walmart.com.mx and the Walmart Mobile App within the specified timeframe. This count includes Buy Nows.
,Add to Cart Out of Stock View Count,APPROVED,6:Digital Landscapes,,,"The number of instances where the ""out of stock"" label was displayed when the product was added to cart or already in cart."
,Add to Cart Session Share,APPROVED,6:Digital Landscapes,,,"The percentage of sessions in which at least one add-to-cart (ATC) action for the selected products, relative to the total number sessions with ATCs for any product within the corresponding category, on Walmart.com and the Walmart Mobile App within the specified timeframe. Each session is counted only once, regardless of the number of ATCs performed within it."
,Add to Cart from PDP Count,APPROVED,6:Digital Landscapes,,,The number of add-to-carts (ATC) for the selected products that originate solely from the product's own Product Detail Page (PDP) on Walmart.com and the Walmart Mobile App within the specified timeframe.
,Add to Cart from non pdp Count,APPROVED,6:Digital Landscapes,,,"The number of add-to-carts (ATC) for the selected products that originate from sources other than the product's own Product Detail Page (PDP) on Walmart.com and the Walmart Mobile App within the specified timeframe. This includes ATCs initiated from locations such as carousels, search results, recommendations, other PDPs, or any page that is not the associated PDP for the selected product."
,Additional Modulars,APPROVED,8:Modular Intelligence,,,Number of other modulars in this store that also have this item
,Age,APPROVED,1:Shopper Behavior;10:Assortment Deep Dive,,,"A demographic found in the Assortment Performance and Customer Priority tables in ADD, displaying the percentage of customers that purchased a product, split across nine different groupings according to the current age of the customer. The nine groupings are: Age: 18-29, Age: 30-39, Age: 40-49, Age: 50-59, Age: 60-69, Age: 70-79, Age: 80-89, Age: 90+, Age: unclassified. Each grouping is displayed as its own column in the table and can be sorted to see which products resonate the most with each demographic group."
,Aldi Employee,APPROVED,2:Customer Perception,,,Panelist is associated with Aldi.
,Amazon Employee,APPROVED,2:Customer Perception,,,Self-identification by the panelist that they are an employee of Amazon
,Answer Choices,APPROVED,2:Customer Perception,,,"Randomize: Answer choices will be presented in different positions for each respondent. Used to reduce respondent order bias in Single and Multiple Selection question typesAdd ""Other"": Answer choice which includes a text entry field to allow respondents to write in details. This choice is anchored in its position when randomization is applied. “Other, if so please tell us more” is the default text for this choice.Add ""None of the Above"": Answer choice will be anchored to the bottom of the option list. When the respondent selects this answer, all other answer choices will be unselected (i.e., exclusive)."
,Audience,APPROVED,2:Customer Perception,,,Short description of target audience for the survey.
,Audience Variables (Audience Attributes),APPROVED,2:Customer Perception,,,"Selection of variables that help you target your audience, such as product categories and demographics."
,BJS Membership,APPROVED,2:Customer Perception,,,Self-identification by the panelist that they have a BJs Membership
,Backroom Inventory,APPROVED,8:Modular Intelligence,,,Quantity of item in the backroom
,Basket $ Value (Average),APPROVED,6:Digital Landscapes,,,Average placed $ value per purchased basket where the supplier's product is in the basket.Average placed $ value per purchased basket where the supplier's product is in the basket.
,Category Median,APPROVED,6:Digital Landscapes,,,A rough benchmark representing the typical performance of a metric or group of metrics across all products in a category.
,Category Session With Add to Cart Count,APPROVED,6:Digital Landscapes,,,"The number of sessions in which a customer views a product in the specified category and, during the same session, adds that product to their cart. In other words, how often a product view leads to an add-to-cart (ATC) within the same category and session."
,Category Session With PDP Count,APPROVED,6:Digital Landscapes,,,"The number of sessions in which a customer views a product in the specified category and, during the same session, views that product’s detail page. In other words, how often a product view leads to a product detail page (PDP) within the same category and session."
,Category Session With Purchase Count,APPROVED,6:Digital Landscapes,,,"The number of sessions in which a customer views a product in the specified category and, during the same session, purchases that product. In other words, how often a product view leads to a purchase within the same category and session."
,Category Session With product view Count,APPROVED,6:Digital Landscapes,,,The count at a category level at which a product view converts into a session with a impressed view of that product.
,Category Top 1% Median,APPROVED,6:Digital Landscapes,,,A rough benchmark representing the top performance of a metric or group of metrics across the top 1% of converting products in a category.
,Category Traffic,APPROVED,6:Digital Landscapes,,,"The distribution of PDP views, add-to-carts, and purchases for all products in the specified category curated into four-hour time blocks using Pacific Standard Time (PST)."
,Click,APPROVED,6:Digital Landscapes,,,"A user action in which a link, product or button is selected and therefore tracked to measure engagement. A Product Detail Page (PDP) view that was triggered by clicking on a product and a click on an ‘Add to Cart’ button are both considered clicks."
,Closed At,APPROVED,2:Customer Perception,,,Actual date a project closes.
,Company Name,APPROVED,2:Customer Perception,,,Company Name (Supplier) that is creating the project.
,Compare,APPROVED,2:Customer Perception,,,"Compare is a feature that allows you to view your survey results broken out by customer segments. When a Comparison is applied, all charts and data tables will break out and display the results for each respondent group in a side-by-side visualization. With the Compare feature, you can: Visualize group differences: Easily identify similarities and differences across various groups of respondents. Create flexible group definitions: Define groups based on audience variables, specific survey questions, and even previously created filters. Gather in-depth insights: Compare multiple questions and answer choices at one time. Analyze for statistical significance: View statistically significant differences among customer segments (similar to crosstab analysis)."
,Complete Unavailability,APPROVED,8:Modular Intelligence,,,"The percentage of a supplier’s items in the modular plan that are completely missing from shelves (no facings), highlighting where products are unavailable to customers."
,Completes (est.),APPROVED,2:Customer Perception,,,Target number of completed responses.
,Content Quality Score,APPROVED,6:Digital Landscapes,,,"A score that shows how well a product page is set up to help customers make buying decisions. Walmart periodically reviews product listings, looking at things like descriptions, images, specifications, and other details to ensure product information is complete, accurate, and useful. Score assignment is computed using proprietary, upstream algorithms."
,Cost per Complete,APPROVED,2:Customer Perception,,,Cost of each completed response in a project.
,Costco Employee,APPROVED,2:Customer Perception,,,Panelist is associated with Costco
,Costco Membership,APPROVED,2:Customer Perception,,,Indicates Panelist's Costco Membership information
,Created At,APPROVED,2:Customer Perception,,,This refers to the date and time when a project was initially established or entered into the system.
,Crosstabs,APPROVED,2:Customer Perception,,,"Crosstabs refers to cross-tabulated data, which is available via the Compare feature for all tabular question types in quantitative projects."
,Customer Perception,APPROVED,2:Customer Perception,,,"Walmart Scintilla’s primary research tool. With Customer Perception, you can leverage a community of verified, omni-channel Walmart customers and collect actionable feedback, on demand."
,Daily Traffic,APPROVED,6:Digital Landscapes,,,"Distribution of PDP Views, add-to-carts and purchases across the days of the week."
,Data Enrichments,APPROVED,2:Customer Perception,,,"Additional variables (such as demographics and product categories) appended to your dataset to further cut or filter down your data, garnering richer insights."
,Deployed At,APPROVED,2:Customer Perception,,,"""Deployed At"" refers to the actual project launch date—the specific date when a project, system, or solution is officially put into operation or made available for use. This date marks the transition from planning and development to active use in the intended environment."
,Device Agnostic,APPROVED,2:Customer Perception,,,"Survey is compatible on desktop/laptop, tablet, and smart phone formats."
,Display It Flag,APPROVED,2:Customer Perception,,,Indicates Panelist's interest in participating in display it
,End Date,APPROVED,2:Customer Perception,,,Project expected end date.
,Enrichment Cost,APPROVED,2:Customer Perception,,,Cost of enrichment variables.
,Enrichment Variables,APPROVED,2:Customer Perception,,,List of enrichment variables
,Event Date,APPROVED,3:Cloud Feeds;5:BI Link;6:Digital Landscapes,,,Date of the event occurredThe Event Date is the specific calendar date on which an event occurred.
,Field Metrics,APPROVED,2:Customer Perception,,,Response Rate: A measure of how engaged customers are. (# customers who entered survey / # of customers invited) x 100 = RR.Incidence Rate (Qualification Rate): Proportion of customers who meet the survey qualification criteria. (# of qualified completes / # customers who entered survey) x 100 = IR
,Filter Options,APPROVED,2:Customer Perception,,,Inclusion: Community members who meet the criteria will be included in the project.Exclusion: Community Members who do not meet the criteria will be excluded from the project
,Home Depot Employee,APPROVED,2:Customer Perception,,,Panelist is associated with Home Depot
,Household Count,APPROVED,2:Customer Perception,,,Indicates the Panelist household strength including the Panelist
,Hypertargeting,APPROVED,2:Customer Perception,,,"Control who you want to hear from by selecting and customizing attributes. In other words, defining the pool of customers who will receive the survey and participate in your research project."
,ID,APPROVED,2:Customer Perception,,,Project ID
,Information Bar,APPROVED,2:Customer Perception,,,"Shown along the top of your screen, the Information Bar tracks estimated project cost in real-time based on user inputs."
,Invader Item Count,APPROVED,8:Modular Intelligence,,,Count of item facings that belong to a different modular category but placed at supplier specific positions in this modular section
,Item Abandonment Rate,APPROVED,6:Digital Landscapes,,,Calculated as the item abandonment count divided by the total add to cart count for the selected product(s).
,Item Save For Later Count,APPROVED,6:Digital Landscapes,,,The number of add-to-cart and buy now instances where a specified product(s) was removed from cart and moved to saved for later.
,Keyword Share (ATC),APPROVED,6:Digital Landscapes,,,The percentage of product add-to-carts attributed to this search keyword vs. all other search keywords.
,Keyword Share (Clicks),APPROVED,6:Digital Landscapes,,,The percentage of product clicks (PDP views or add-to-carts) attributed to this keyword vs. all other search keywords.
,Keyword Share (PDP),APPROVED,6:Digital Landscapes,,,The percentage of product PDP views attributed to this search keyword vs. all other search keywords.
,Kroger Employee,APPROVED,2:Customer Perception,,,Indicates if Panelist is associated with Kroger
,Load Timestamp,APPROVED,6:Digital Landscapes,,,The date and time when this row was inserted/loaded into the data lake / data warehouse table.
,Load User Id,APPROVED,6:Digital Landscapes,,,The userid or process id of the person or process which loaded the row into this data lake / data warehouse table.
,Macy's Employee,APPROVED,2:Customer Perception,,,Indicates is Panelist is associated with Macy's
,Margin of Error,APPROVED,2:Customer Perception,,,"The Margin of Error is a statistic often used in research that gives us insight into how large we might expect the discrepancy to be between our sampled value and the population value. The nearer to zero the Margin of Error is, the more confident we can be that our sample is representative of the population.The Margin of Error calculation considers the Sample Size of your research and desired level of precision (aka Confidence Interval). Therefore, when deciding on the number of Target Completes for your project in Customer Perception, consider increasing the sample size to reduce the Margin of Error."
,Missed Sales Opportunity,APPROVED,8:Modular Intelligence,,,"Potential loss of sales if the shelf health is not improved. Calculated based on on-shelf availability, backroom and in-transit inventory, and daily demand forecast."
,Modular Compliance,APPROVED,8:Modular Intelligence,,,Percentage of item facings placed in correct position according to the active modular plan
,My Company,APPROVED,2:Customer Perception,,,Projects that others in your company have created.
,My Distinct UPC,APPROVED,8:Modular Intelligence,,,Planned Supplier Specific number of distinct UPCs in modular section
,My Projects,APPROVED,2:Customer Perception,,,Projects that you have created.
,New Search Keywords,APPROVED,6:Digital Landscapes,,,"Keywords that have not been searched before and are rising in product clicks, PDP views or add-to-carts during a specific week."
,New Search Keywords (Clicks),APPROVED,6:Digital Landscapes,,,Keywords that have not been searched before and are rising in clicks (PDP views or add-to-carts).Keywords that have not been searched before and are rising in clicks (product detail page views or add-to-carts).
,New Search Keywords (Volume),APPROVED,6:Digital Landscapes,,,Keywords that have not been searched before and are rising in search volume.
,No Membership,APPROVED,2:Customer Perception,,,Indicates Panelist does not have any Membership
,Number of Questions,APPROVED,2:Customer Perception,,,Total question count for a given survey.
,On-Shelf Availability,APPROVED,8:Modular Intelligence,,,"Actual number of available facings of an item, out of total number of planned facings for the item as per the active modular plan"
,Other Employee,APPROVED,2:Customer Perception,,,Panelist is associated with other
,PDP Identified Customer Count,APPROVED,6:Digital Landscapes,,,"The number of unique, identified customers (as determined by pg_Cust_id) who have visited the product detail page (PDP) for the selected products within the specified timeframe. Each customer is counted only once, regardless of the number of PDP visits within that period."
,PDP Out of Stock View Count,APPROVED,6:Digital Landscapes,,,"The number of instances where the ""out of stock"" label was displayed on the product details page."
,PDP Unidentified Customer Count,APPROVED,6:Digital Landscapes,,,"The number of unique, unidentified customers (as determined by visitor_id when pg_Cust_id is null) who have visited the product detail page (PDP) for the selected products within the specified timeframe. Each customer is counted only once, regardless of the number of PDP visits within that period."
,PDP View Count,APPROVED,6:Digital Landscapes,,,The product detail page (PDP) view count is the total times a user visits and loads the product detail page of the specified product.
,PDP View Session Share,APPROVED,6:Digital Landscapes,,,The share of sessions with PDP views of a specified product(s) compared to the total number of sessions with PDP views of all products in the corresponding Walmart category.The share of sessions with product detail page (PDP) views of a specified product(s) compared to the total number of sessions with PDP views of all products in the corresponding Walmart category.
,PDP View Session Share in Category for One UPC,APPROVED,6:Digital Landscapes,,,"Count of Sessions where the Supplier UPC has PDP Views / Count of Sessions where any of the UPCs belonging to the category is viewed (inclusive of all suppliers) If you’re looking at All Supplier UPCs in a category, the logic would be the same: Count of Sessions where any of the Supplier UPCs in the category has PDP Views / Count of Sessions where any of the UPCs belonging to a category is viewed (inclusive of all suppliers)Count of Sessions where the Supplier Universal Product Code (UPC) has product detail page (PDP) Views / Count of Sessions where any of the UPCs belonging to the category is viewed (inclusive of all suppliers) If you’re looking at All Supplier UPCs in a category, the logic would be the same: Count of Sessions where any of the Supplier UPCs in the category has PDP Views / Count of Sessions where any of the UPCs belonging to a category is viewed (inclusive of all suppliers)"
,Panelist Race,APPROVED,2:Customer Perception,,,Panelist race identifier
,Panelist Segment ID,APPROVED,2:Customer Perception,,,Panelist Segmentation ID
,Panelist State,APPROVED,2:Customer Perception,,,Panelist state in the community
,Panelist Terms of Use Agreement,APPROVED,2:Customer Perception,,,Indicates Panelist's acceptance to Terms of Use Agreement
,Panelist Work Industry,APPROVED,2:Customer Perception,,,Indicates in which industry panelist work
,Partial Availability,APPROVED,8:Modular Intelligence,,,"Percentage of distinct items that have partial facings (less than the itended facings, but not zero) on shelf, out of all distinct items in the active modular plan"
,Participation Status,APPROVED,2:Customer Perception,,,"Invited: Those who received an email to participate in the project – non-respondents, partial completes, completed, or terminated.Completed: Participants who met the project criteria and answered all the required questions in the survey.Terminated: Participants who did not meet the project criteria and their experience ended early."
,Percent of Total Completes,APPROVED,2:Customer Perception,,,% of respondents who selected that option.
,Percent of Total Count,APPROVED,2:Customer Perception,,,"Among the total number of responses – taking into account all of the selections the respondents chose in a multiple selection question. As such, a single respondent would be counted multiple times, if they selected multiple responses."
,Planned Discontinue Date,APPROVED,8:Modular Intelligence,,,Date on which the modular is supposed to be discontinued in the store
,Planned Effective Date,APPROVED,8:Modular Intelligence,,,Date from which the modular is supposed to be active in the store
,Planned Position,APPROVED,8:Modular Intelligence,,,Product position in the section according to the active modular plan. It is represented in the form of -
,Preview,APPROVED,2:Customer Perception,,,"Enables you to see the survey in the same format that the respondents will be viewing when they complete it. You will be able to view it in desktop/laptop, tablet, or smart phone formats."
,Price Tag Availability,APPROVED,8:Modular Intelligence,,,"Percentage of items that have a corresponding visible price tag, out of all existing items in the shelves"
,Prod Impression Count,APPROVED,6:Digital Landscapes,,,"COUNT(DISTINCT CASE WHEN impression_ind = 'product_impressions' OR item_page_ind > 0 THEN CONCAT(pageview_id, CAST(catlg_item_id AS VARCHAR)) END)Impressions are the rectangular elements that include a product image thumbnail, product name, price, and any relevant badges. The site and app serve billions of impressions per day. This is the start of a traceable customer shopping journey, including the first items they see. Impressions occur across page types, including Home Page, Search, Browse, My Items, Product Pages, Carts, and Review Order pages."
,Product Detail Page Views (PDP),APPROVED,6:Digital Landscapes,,,"A product detail page (PDP) is a page on the Walmart website/app that displays detailed information about a specific product. A PDP view occurs when a user visits and loads the product detail page of the specified product.A metric that measures the number of times users visit the Product Detail Page (PDP) of a specific product on Walmart.com or the Walmart Mobile App, regardless of whether the source of traffic was internal or external."
,Product View,APPROVED,6:Digital Landscapes,,,A product view occurs when a product is displayed to a user on Walmart's website or app. This sometimes includes when a product is displayed above or below the fold on a page.
,Product View Count,APPROVED,6:Digital Landscapes,,,"COUNT(DISTINCT CASE WHEN impression_ind = 'product_impressions' OR item_page_ind > 0 THEN CONCAT(dca.pageview_id, CAST(dca.catlg_item_id AS VARCHAR)) END)The count of times a product was viewed."
,Product View Out of Stock View Count,APPROVED,6:Digital Landscapes,,,"The number of instances where the ""out of stock"" label was displayed on the product view page."
,Product Views,APPROVED,6:Digital Landscapes,,,A Product View occurs when a product is displayed to the user on the Walmart website/app (this can sometimes include products displayed both above and below the fold on the website).
,Products per Basket (Average),APPROVED,6:Digital Landscapes,,,The average number of products placed per purchased online basket containing the selected product(s).The average number of products placed per purchased online basket containing the selected product(s).
,Project Cost,APPROVED,2:Customer Perception,,,"Estimated cost of the project, based on the number of completed responses and data enrichments."
,Project Participation,APPROVED,2:Customer Perception,,,Filtering feature that allows you to include or exclude Spark Community Members based on their participation in other projects you and your company have run.
,Project Status,APPROVED,2:Customer Perception,,,"Active: The project is live and currently accepting responses. You can view results as they come in, in real-time. Pending: Project is undergoing the Customer Perception project review process prior to launch Pending Approval: Researcher is actively reviewing the survey and providing feedback for changes or improvements (if any). Returned with Edits: When researcher feedback is ready for you to review. Look out for their comments and suggestions via email. Drafts: You have not yet submitted the project for research review. The project is still a work in progress. Closed: The Project is closed and not longer accepting responses."
,Public Name,APPROVED,2:Customer Perception,,,Name set by the researcher. This will be the email subject line that will be displayed to Customer Spark Community members when they receive a survey invitation.
,Purchase Count,APPROVED,6:Digital Landscapes,,,The purchase count is the total times a user completes an online purchase order of the specified product on Walmart's website or app.
,Purchase Customer Count,APPROVED,6:Digital Landscapes,,,"The number of unique, identified customers (as determined by pg_Cust_id) who have purchased the selected products within the specified timeframe. Each customer is counted only once, regardless of the number of purchases made within that period."
,Purchase From Add to Cart Count,APPROVED,6:Digital Landscapes,,,SUM(CASE WHEN dca.cntxt_nm = 'checkout' AND dca.actn_catg_nm = 'pageView' AND lower(dca.page_nm) like '%thankyou%' THEN dca.item_qty ELSE 0 end)The number of purchases of the selected product made through add-to-cart (ATC) functionality on Walmart.com or the Walmart Mobile App within the specified timeframe.
,Purchase From non Add to Cart Count,APPROVED,6:Digital Landscapes,,,purchs_cnt - purchs_frm_a2c_cntThe number of purchases of the selected product made through Buy Now functionality on Walmart.com or the Walmart Mobile App within the specified timeframe.
,Purchase Session Share,APPROVED,6:Digital Landscapes,,,The share of sessions with purchases of the specified product/brand compared to the total number of sessions with the purchases of all products in the corresponding Walmart category.
,Purchase Through Add to Cart Count,APPROVED,6:Digital Landscapes,,,sum(CASE WHEN sales_order_nbr is not null AND cntxt_nm = 'checkout' THEN item_qty ELSE 0 END) as purchase_through_a2c_cntThe number of purchases of the selected product made through add-to-cart (ATC) functionality on Walmart.com or the Walmart Mobile App within the specified timeframe.
,Purchase Through Other Count,APPROVED,6:Digital Landscapes,,,purchase_cnt - purchase_through_a2c_cntThe number of purchases of the selected product made through Buy Now functionality on Walmart.com or the Walmart Mobile App within the specified timeframe.
,Qualitative Survey,APPROVED,2:Customer Perception,,,"Video feedback tool that allows you to hear insights straight from the customer. Visualizations of customer feelings, behaviors, and patterns."
,Quantitative Results,APPROVED,2:Customer Perception,,,Participation Status: Qualified Participants who met the project criteria and answered all the required questions in the survey. Terminated: Participants who did not meet the project criteria and their experience ended early.
,Quantitative Survey,APPROVED,2:Customer Perception,,,"Collect larger data sets for numeric analysis. Analyze data in charts, tables, and word clouds."
,Query,APPROVED,2:Customer Perception,,,Target attributes for the project
,Question Bank,APPROVED,2:Customer Perception,,,Comprised of expert-written questions spanning across various research topics.
,Question Types,APPROVED,2:Customer Perception,,,"Single Selection: Respondents pick from one of the options provided. Multiple Selection: Respondents can pick multiple selections from the options provided. Dropdown (Single): Respondents choose one from a list of options in a dropdown menu. Matric: Respondents can rate multiple statements under a single scale. Rating Scale: Respondents rate a statement under a single numeric scale. Ranking: Respondents rank the options in a determined order. Short Form Text Entry: Respondents can provide a short text answer of up to 250 characters. Long Form Text Entry: Respondents can provide a longer text answer up to 1,000 characters. Text: Insert a text message for respondents to read. Media: Upload an image(s) or enter a video URL for respondents to view. Block: Group relevant questions together, with the option to enable randomization. Turning tis feature on will randomize the questions within the block."
,Research Review,APPROVED,2:Customer Perception,,,A Market Research Expert will carefully review all the project details and provide feedback to help ensure research best practices are leveraged to get you actionable results.
,Result Exports,APPROVED,2:Customer Perception,,,"Download Raw Data (xlsx): Provides the survey questions and the raw response/text of every individual answer in an Excel file format. Download Charts and Tables (pptx): Provides the chart and table visualizations of each survey question’s results in a PowerPoint file format. Download Tables (xlsx): Provides the survey questions and the tabular response data (Response, Count, Percent of Total Count) in an Excel file format.Download Aggregated Data (xlsx): Provides the survey question and raw response data in an Excel file format.Download Chart Image (png): Provides the chart visualization of the survey question’s results in picture format."
,Results,APPROVED,2:Customer Perception,,,Questions: The number of survey questions.Responses: The number of qualified completes / your number of desired responses.Completion %: The percentage of surveys completed.Time to complete: The average amount of time that respondents spent on the survey. Also known as length of interview.Deployed: Date when the survey was Launched.
,Sam's Club Employee,APPROVED,2:Customer Perception,,,Indicates is Panelist is associated with Sam's Club
,Sam's Club For Business,APPROVED,2:Customer Perception,,,Indicates Panelist shops at Sam's Club for Business
,Sam's Club Membership,APPROVED,2:Customer Perception,,,Indicates Panelist's Sam's Club Membership information
,Scintilla Company Id,APPROVED,6:Digital Landscapes,,,Scintilla Company IDThe Scintilla Company Id is a unique identifier assigned to a company or vendor associated with the Scintilla product within Walmart's systems.
,Screener Question,APPROVED,2:Customer Perception,,,Helps disqualify any survey takers that you aren’t interested in hearing from.
,Section Health,APPROVED,8:Modular Intelligence,,,Shelf health score for a particular modular section
,Sentiment Analysis,APPROVED,2:Customer Perception,,,A gauge-style visualization that assesses the overall sentiment of the statements in the customer’s responses from positive to neutral to negative.
,Session,APPROVED,6:Digital Landscapes,,,"A session is a series of user interactions on the Walmart website or app within a defined time window. It begins with the user’s first visit and ends after 30 minutes of inactivity, upon exit, or automatically renews every 12 hours if still active."
,Session Add to Cart Rate,APPROVED,6:Digital Landscapes,,,The rate at which a session with a product view converts into a session with an add to cart of that product.
,Session Add to Cart Rate (%),APPROVED,6:Digital Landscapes,,,"The rate at which a session with an impression of a product converts into a session with an add-to-cart of that product. Calculation: % of sessions where the product was added to the cart / total sessions where there was an impression of that product. Note: In the case that the calculation is measuring for a Product, it will be for that single product. In the case that the calculation is measuring for Product Groups (a category or any other group), it would consider all session where at least one of the products from the product category was featureThe percentage of sessions on Walmart.com and the Walmart Mobile App in which a product view converts directly into an add-to-cart (ATC) of the selected product without a user viewing the Product Detail Page (PDP).d."
,Session Add to Cart Rate (%) from PDP,APPROVED,6:Digital Landscapes,,,The rate at which sessions with a Product View of the product converts to a session with a PDP view of that product.
,Session Add to Cart Rate (%) from non-PDP,APPROVED,6:Digital Landscapes,,,The rate at which sessions with a Product View of the product converts to a direct add-to-cart of that product (without the user viewing the PDP). Calculation: Session Add to Cart Rate (%) - Session Add to Cart Rate % from PDP
,Session PDP View Rate,APPROVED,6:Digital Landscapes,,,The rate at which a session with a product view converts into a session with a PDP view of that product. The rate at which a session with a product view converts into a session with a Product Detail Page (PDP) view of that product.
,Session PDP View Rate (%),APPROVED,6:Digital Landscapes,,,"The rate at which a session with an impression of a product converts into a session with a PDP view of that product. Calculation: % of sessions where the PDP was viewed / total sessions where there was an impression of that product. NOTE: In the case that the calculation is measuring for a Product, it will be for that single product. In the case that the calculation is measuring for Product Groups (a category or any other group), it would consider all session where at least one of the products from the product category was featured.The rate at which a session with an impression of a product converts into a session with a Product Detail Page (PDP) view of that product. Calculation: % of sessions where the PDP was viewed / total sessions where there was an impression of that product. NOTE: In the case that the calculation is measuring for a Product, it will be for that single product. In the case that the calculation is measuring for Product Groups (a category or any other group), it would consider all session where at least one of the products from the product category was featured."
,Session Purchase Rate,APPROVED,6:Digital Landscapes,,,The rate at which a session with a product view converts into a session with a purchase of that product.
,Session Purchase Rate (%),APPROVED,6:Digital Landscapes,,,The rate at which a session with an impression of a product converts into a session with a purchase of that product. Calculation: % of sessions where the product was purchased / total sessions where there was an impression of that product.
,Session Purchase Rate (%) from Add to Cart,APPROVED,6:Digital Landscapes,,,The rate at which a user purchases a product after adding that product to cart.
,Session Purchase Rate (%) from non-Add to Cart,APPROVED,6:Digital Landscapes,,,"The rate at which sessions convert to purchase using a path apart from Add to Cart. This may include Buy Now, etc. Calculation: Session Purchase Rate (%) - Session Purchase Rate (%) from Add to CartThe percentage of sessions on Walmart.com and the Walmart Mobile App in which a purchase of the selected product is made through Buy Now functionality."
