technical_name,business_name,status,products,rb_datasets,api_feeds,definition
chng_rsn_cd,Change Reason Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order;purchase_order_stock_transfer,"These are the descriptions for the reasons for creations or changes to the Purchase Order (PO).-Inaccurate Forecast-Store/Club Demand Change-Supplier Negotiated Change (ex: cost, pack, terms)-Business Decision-Recall-Withdrawal-Supplier Capacity Issue (supplier responsible)-Supplier Requested Change-Hurricane-Flooding-Tornado-Fire-Earthquake-Substitute Item Received-Incorrect Item Received-Incorrect Initial Distribution-Impact Store/Club-Supplier Uncontrollable (Supplier Reimbursement Charge not applied)-Walmart/Sam’s Approved"
chng_rsn_desc,Change Reason Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,"These are the descriptions for the reasons for creations or changes to the purchase order (PO).-Inaccurate Forecast-Store/Club Demand Change-Supplier Negotiated Change (ex: cost, pack, terms)-Business Decision-Recall-Withdrawal-Supplier Capacity Issue (supplier responsible)-Supplier Requested Change-Hurricane-Flooding-Tornado-Fire-Earthquake-Substitute Item Received-Incorrect Item Received-Incorrect Initial Distribution-Impact Store/Club-Supplier Uncontrollable (Supplier Reimbursement Charge not applied)-Walmart/Sam’s Approved"
chnl_base_desc,Channel Base Description,APPROVED,13:Report Builder,bottle_deposit,,Channel base description shows the avenue in which a product was delivered/received. Used to provide visibility into Omni Segments of the Business.
chnl_base_id,Channel Base ID,APPROVED,13:Report Builder,bottle_deposit,,ID associated to a unique Channel Base Description. Channel base is the avenue in which a product was delivered/received. Used to provide visibility into Omni Segments of the business.
chnl_mthd_cd,Channel Method Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_alloc_order;purchase_order_line;purchase_order_stock_transfer,"Identifies the flow of the purchase order (PO) through the Walmart Purchase Order Network.Current channel methods are: 1-CROSSDOCK, 2-STAPLE STOCK, 3-DSD, 4-DSDC"
chnl_mthd_desc,Channel Method Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;oms_po_details;otif_(decommissioned);purchase_order_line,"This is the description for the indicated Channel Method Type. The Channel Method Type indicates the flow of the purchase order (PO) through the Walmart Purchase Order Network.Current channel methods are:-Crossdock: Assembly items that flow through the DC.-Staple Stock: Warehouse items that are slotted in the DC.-Assembly: same as Crossdock-Two-Tier: can be both Assembly & Warehouse, some of the product is slotted in the distribution center (DC) & some product flows through the DC's to stores/clubs"
chnl_mthd_desc,Channel Method Type,APPROVED,9:API Glossary;13:Report Builder,purchase_order,otif_(decommissioned),Indicates the flow of the PO through the WalMart Purchase Order Network.
chnl_subtype_id,Channel Subtype Id,APPROVED,9:API Glossary,,ecomm_returns;ecomm_subscriptions,A code which identifies the visit type when it is not a regular sales transaction. This will be used for layaway and ATM plus transactions. This code represents the type of transaction/order that is more granular than CHNL_TYPE_ID
chnl_subtype_nm,Channel Subtype Name,APPROVED,9:API Glossary,,ecomm_returns;ecomm_subscriptions,"This is the channel - the delivery method for the order. S2H = Ship to Home, S2S = Ship to Store, PUT = Pick Up Today, SFS = Ship from Store, OG = Online Grocery, etc. Note all MP sales will be 'MP', including WFS even though this is fulfilled out of owned Fulfillment Centers (dstrbtr_grp_type_ovrd_nm = 'OWNED')"
chnl_type_id,Channel Type ID,APPROVED,3:Cloud Feeds,,,Channel Type is a number assigned to the type of visit. Examples: 1 STORE SALE30 LAYAWAY60 OTHER86 ONLINE INITIATED SALE
city_nm,City Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;future_valid_item_store;modular_plan_metrics;omni_otif;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,dc_dimensions;store_dimensions,The name of the city where the Distribution Center or store is located.
city_nm,DC City Name,APPROVED,13:Report Builder,order_forecast,,It is the name of the city in which the Distribution Center (DC) resides.
claim_rqst_ind,Claim Request Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_dc_receiver,The indicator which denotes if a claim request was submitted for damaged merchandise delivered. Values: 0: No 1: Yes
clearance_not_elig_ind,Clearance Not Eligible Indicator,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,"Indicates that the item is not eligible due to clearance. For example, when item has been removed from the mod but is still on the shelf until the item sells out. Values are 0 and 1."
cloud_grocer_og_ind,Cloud Grocery Online Grocery,APPROVED,2:Customer Perception,,,Self-identification by the panelist that they have used cloud grocery online grocery.
cmpnt_cntry_of_orign_nm,Components Country of Origin Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;ecomm_sales;omni_sales,product_dimensions,The name of the country where the product originated.
